SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc83,ng102,ne101,9,12,10,20,-999,-999,1.6545955022823646,-999,31.448488235473633,0.0,8.234800691496048,2035.5880150839998
sc84,ng101,ne101,9,12,10,20,-999,-999,2.0361334213250504,-999,0.1213226318359375,0.0,8.234800691496503,2035.5880150839998
sc84,ng102,ne101,9,12,10,25,-999,-999,2.036133421325051,-999,0.1213226318359375,0.0,8.234800691496503,2035.5880150839998
sc85,ng101,ne101,9,12,20,20,-999,-999,1.8937844078191246,-999,0.08923721313476562,0.0,8.234800691496503,2035.5880150839998
sc85,ng102,ne101,9,12,0,10,-999,-999,2.420000000000001,-999,0.08923721313476562,0.0,8.234800691496503,2035.5880150839998
sc86,ng101,ne101,9,12,20,20,-999,-999,1.8937844078191244,-999,0.23863601684570312,0.0,8.234800691489,2035.5880150839998
sc86,ng102,ne101,9,12,0,20,-999,-999,2.420000000000001,-999,0.23863601684570312,0.0,8.234800691489,2035.5880150839998
sc87,ng101,ne101,9,12,20,20,-999,-999,2.5260485368438124,-999,0.05213737487792969,0.0,8.234800691496048,2035.5880150839998
sc87,ng102,ne101,9,12,0,25,-999,-999,0.7150000000000001,-999,0.05213737487792969,0.0,8.234800691496048,2035.5880150839998
sc88,ng101,ne101,9,12,20,20,-999,-999,2.5017644103805,-999,0.32686805725097656,0.0,-303.05799766923064,2035.5880150839998
sc88,ng102,ne101,9,12,10,10,-999,-999,0.0,-999,0.32686805725097656,0.0,-303.05799766923064,2035.5880150839998
sc89,ng101,ne101,9,12,20,20,-999,-999,1.2965144103804993,-999,0.0792083740234375,0.0,-303.0579976692238,2035.5880150839998
sc89,ng102,ne101,9,12,10,20,-999,-999,2.420000000000001,-999,0.0792083740234375,0.0,-303.0579976692238,2035.5880150839998
sc90,ng101,ne101,9,12,20,20,-999,-999,2.4568410394051874,-999,0.07419776916503906,0.0,-303.0579976692238,2035.5880150839998
sc90,ng102,ne101,9,12,10,25,-999,-999,0.7150000000000001,-999,0.07419776916503906,0.0,-303.0579976692238,2035.5880150839998
sc91,ng101,ne101,13,16,0,10,-999,-999,3.2036635372549025,-999,18.911251068115234,0.0,195.4021349552604,2703.188964447203
sc91,ng102,ne101,13,16,0,10,-999,-999,1.8400000000000003,-999,18.911251068115234,0.0,195.4021349552604,2703.188964447203
sc92,ng101,ne101,13,16,0,10,-999,-999,3.923092358341421,-999,3.869281768798828,0.0,195.4021349552213,2703.188964447201
sc92,ng102,ne101,13,16,0,20,-999,-999,1.8399999999999872,-999,3.869281768798828,0.0,195.4021349552213,2703.188964447201
sc93,ng101,ne101,13,16,0,10,-999,-999,3.832442987895171,-999,3.144359588623047,0.0,195.4021349552586,2703.188964447201
sc93,ng102,ne101,13,16,0,25,-999,-999,1.9320000000000181,-999,3.144359588623047,0.0,195.4021349552586,2703.188964447201
sc94,ng101,ne101,13,16,0,10,-999,-999,1.84,-999,0.4060783386230469,0.0,195.40213495525677,2703.188964447201
sc94,ng102,ne101,13,16,10,10,-999,-999,2.4430000000000014,-999,0.4060783386230469,0.0,195.40213495525677,2703.188964447201
sc95,ng101,ne101,13,16,0,10,-999,-999,2.3016554217538503,-999,0.8472499847412109,0.0,195.40213495526086,2703.188964447201
sc95,ng102,ne101,13,16,10,20,-999,-999,2.3016554217538503,-999,0.8472499847412109,0.0,195.40213495526086,2703.188964447201
sc96,ng101,ne101,13,16,0,10,-999,-999,2.2316103992206586,-999,1.064828872680664,0.0,195.40213495525722,2703.188964447201
sc96,ng102,ne101,13,16,10,25,-999,-999,2.2316103992206586,-999,1.064828872680664,0.0,195.40213495525722,2703.188964447201
sc97,ng101,ne101,13,16,0,20,-999,-999,2.3099999999999996,-999,0.1493968963623047,0.0,195.40213495525722,2703.188964447201
sc97,ng102,ne101,13,16,0,10,-999,-999,2.31,-999,0.1493968963623047,0.0,195.40213495525722,2703.188964447201
sc98,ng101,ne101,13,16,0,20,-999,-999,2.4200000000000017,-999,0.8031349182128906,0.0,195.40213495525586,2703.188964447201
sc98,ng102,ne101,13,16,0,20,-999,-999,2.1608635920723334,-999,0.8031349182128906,0.0,195.40213495525586,2703.188964447201
sc99,ng101,ne101,13,16,0,20,-999,-999,2.222470698668971,-999,0.06818008422851562,0.0,195.40213495525722,2703.188964447201
